;Прайс-лист;;;;;
;;;;;;
;"ТОВ ""КАРП ЗУМ УКРАЇНА""";;;;;
;;;;;;
;У валютах цін.;;;;;
;Ціни зазначені на 10.08.2016;;;;;
;;;;;;
;;;;;;
;Номенклатура.Родитель/ Номенклатура;Залишок;Номенклатура.Артикул ;Розничная ЕВРО;;
;;;;Ціна;Од.;
;Услуги<(00002)>;;;;;
;        CZ Elite Net Float   (НЕОПРЕНОВЫЙ ПОПЛАВОК ДЛЯ ПОДСАКА);1,000;CZ7535;2,03 EUR;шт;
;        CZ Fanatic Bite Alarm Set (Электронных индикаторов поклевки + палаточная лампа);;CZ0513;134,93 EUR;шт;
;        CZ Fishing Gloves (ПЕРЧАТКИ C  МАГНИТНЫМ КРЕПЛЕНИЕМ );;CZ3261;10,43 EUR;шт;
;        CZ Fleece Hat (Флисовая шапка);;CZ3254;3,68 EUR;шт;
;        CZ Fleece Jacket, M (Флисовая термо-кофта);;CZ3155;25,43 EUR;шт;
;        CZ GAMMA 2 section landing net (50x50x210);;CZ8136;11,70 EUR;шт;
;        CZ H-marker  ( Н-ОБРАЗНЫЙ МАРКИРОВОЧНЫЙ БУЕК С 18-ти МЕТРОВЫМ ШНУРОМ);;CZ6507;3,68 EUR;шт;
;        CZ Heavy duty 150+ bedchair (Кровать экстра-прочной стальной конструкции - нагрузка 150 кг, металлические клипсы, оснащена крепким съемным матрасом,размер: 202x80x35);;CZ4900;115,43 EUR;шт;
;        CZ Hook Paste, 175g, caramel (карамель);;CZ9065;2,39 EUR;шт;
;        CZ Hook Paste, 175g, honey (мед);2,000;CZ9041;2,39 EUR;шт;
;        CZ Hook Paste, 175g, mussel (ракушка,мидия);;CZ9072;2,39 EUR;шт;
;        CZ Hook Paste, 175g, strawberry (клубника);;CZ9034;2,39 EUR;шт;
;        CZ Hook Paste, 175g, vanilla (ваниль);1,000;CZ9058;2,39 EUR;шт;
;        CZ Long Cast Pellet,floating, 10mm, 100g, banana-hemp  (плавающий,банан-конопляное семя);;CZ9256;2,39 EUR;шт;
;        CZ Long Cast Pellet,floating, 10mm, 100g, honey (плавающий,мед);;CZ9232;2,39 EUR;шт;
;        CZ Long Cast Pellet,floating, 10mm, 100g, mussel (плавающий,мидии);;CZ9270;2,39 EUR;шт;
;        CZ Long Cast Pellet,floating, 10mm, 100g, scopex (плавающий,,скопекс);;CZ9263;2,39 EUR;шт;
;        CZ Long Cast Pellet,floating, 10mm, 100g, strawberry (плавающий,клубника);;CZ9225;2,39 EUR;шт;
;        CZ Long Cast Pellet,floating, 10mm, 100g,squid-octopus (плавающий,кальмар);;CZ9287;2,39 EUR;шт;
;        CZ Long Cast Pellet,sinking, 10mm, 120g, mussel (тонущий,мидии);;CZ9348;1,59 EUR;шт;
;        CZ Long Cast Pellet,sinking, 10mm, 120g, squid-octopus (тонущий,кальмар);;CZ9355;1,59 EUR;шт;
;        CZ MultiCatch Float 11, 15g  (поплавок для хишника с встроенным грузилом,под светляк);;CZ4145;1,41 EUR;шт;
;        CZ MultiCatch Float 11, 20g  (поплавок для хишника с встроенным грузилом,под светляк);;CZ4152;1,49 EUR;шт;
;        CZ MultiCatch Float 11, 25g  (поплавок для хишника с встроенным грузилом,под светляк);;CZ4169;1,65 EUR;шт;
;        CZ MultiCatch Float 11, 30g  (поплавок для хишника с встроенным грузилом,под светляк);;CZ4176;1,88 EUR;шт;
;        CZ MultiCatch Float 12, 10g  (поплавок с внутринне проводимой леской,под светляк);;CZ4220;0,93 EUR;шт;
;        CZ MultiCatch Float 12, 3g  (поплавок с внутринне проводимой леской,под светляк);;CZ4183;0,71 EUR;шт;
;        CZ MultiCatch Float 12, 4g  (поплавок с внутринне проводимой леской,под светляк);;CZ4190;0,74 EUR;шт;
;        CZ MultiCatch Float 12, 6g  (поплавок с внутринне проводимой леской,под светляк);;CZ4206;0,81 EUR;шт;
;        CZ MultiCatch Float 12, 8g  (поплавок с внутринне проводимой леской,под светляк);;CZ4213;0,87 EUR;шт;
;        CZ MultiCatch Float 13, 1.5g (поплавок для маховой ловли);;CZ4244;0,59 EUR;шт;
;        CZ MultiCatch Float 13, 1g (поплавок для маховой ловли);;CZ4237;0,59 EUR;шт;
;        CZ MultiCatch Float 13, 2g (поплавок для маховой ловли);;CZ4251;0,60 EUR;шт;
;        CZ MultiCatch Float 13, 3g (поплавок для маховой ловли);;CZ4268;0,60 EUR;шт;
;        CZ MultiCatch Float 14, 3g (поплавок класический,рекоменд. для тростниковой рыбалки);;CZ4275;0,60 EUR;шт;
;        CZ MultiCatch Float 14, 4g (поплавок класический,рекоменд. для тростниковой рыбалки);;CZ4282;0,60 EUR;шт;
;        CZ MultiCatch Float 14, 5g (поплавок класический,рекоменд. для тростниковой рыбалки);3,000;CZ4299;0,63 EUR;шт;
;        CZ MultiCatch Float 14, 6g (поплавок класический,рекоменд. для тростниковой рыбалки);3,000;CZ4305;0,63 EUR;шт;
;        CZ MultiCatch Float 15, 1g  (попловок для маховой и спиннинговой рыбалки);;CZ4312;0,59 EUR;шт;
;        CZ MultiCatch Float 15, 2g  (попловок для маховой и спиннинговой рыбалки);;CZ4329;0,60 EUR;шт;
;        CZ MultiCatch Float 15, 3g  (попловок для маховой и спиннинговой рыбалки);;CZ4336;0,62 EUR;шт;
;        CZ MultiCatch Float 15, 4g  (попловок для маховой и спиннинговой рыбалки);;CZ4343;0,63 EUR;шт;
;        CZ MultiCatch Float 16, 1.5g (попловок для маховой рыбалки с бамбуковой антеной);;CZ4367;0,59 EUR;шт;
;        CZ MultiCatch Float 16, 1g (попловок для маховой рыбалки с бамбуковой антеной);;CZ4350;0,59 EUR;шт;
;        CZ MultiCatch Float 16, 2g (попловок для маховой рыбалки с бамбуковой антеной);;CZ4374;0,60 EUR;шт;
;        CZ MultiCatch Float 4, 10g (с встроенным грузилом,подходить для ночной рыбалки);;CZ3889;0,83 EUR;шт;
;        CZ MultiCatch Float 4, 12g (с встроенным грузилом,подходить для ночной рыбалки);;CZ3896;0,93 EUR;шт;
;        CZ MultiCatch Float 5, 10g  (для стоячей воды подходить для ночной рыбалки);;CZ3919;0,81 EUR;шт;
;        CZ MultiCatch Float 5, 12g  (для стоячей воды подходить для ночной рыбалки);;CZ3926;0,89 EUR;шт;
;        CZ MultiCatch Float 5, 15g  (для стоячей воды подходить для ночной рыбалки);;CZ3933;1,02 EUR;шт;
;        CZ Net Head 4 (40x38)  (ГОЛОВА ПОДСАК, 2 мм ПЛЕТЕНАЯ СЕТКА);;CZ8303;3,53 EUR;шт;
;        CZ Net Head 6 (55x53)   (ГОЛОВА ПОДСАК, 6 мм ТКАННАЯ СЕТКА);3,000;CZ8327;4,43 EUR;шт;
;        CZ Pole rest, 9 section (9-ти секционая гребенка, подставка под фидер);;CZ3101;3,38 EUR;шт;
;        CZ Practic Bag (Рыболовная сумка 45x25x25см.);;CZ7870;16,43 EUR;шт;
;        CZ Practic unhooking mat (Карповый мат, размер: 100x65 см.);;CZ4917;14,18 EUR;шт;
;        CZ Retro Cap, green (РЭТРО КЕПКА);;CZ3322;4,13 EUR;шт;
;        CZ Rig Weights (15 shots, 3 strings), Green (Свинцовый стоппер для поводков);4,000;CZ6408;2,03 EUR;шт;
;        CZ Soft Hook Pellet,floating, 8mm, 100g, mussel (плавающий,мидии);2,000;CZ9133;2,23 EUR;шт;
;        CZ Soft Hook Pellet,floating, 8mm, 100g, strawberry (плавающий,клубника);1,000;CZ9089;2,23 EUR;шт;
;        CZ Soft Hook Pellet,sinking, 8mm, 120g, mussel (тонущий,мидии);;CZ9201;1,59 EUR;шт;
;        CZ Soft Hook Pellet,sinking, 8mm, 120g, scopex (тонущий,скопекс);;CZ9195;1,59 EUR;шт;
;        CZ Soft Hook Pellet,sinking, 8mm, 120g, squid-octopus (тонущий,кальмар);1,000;CZ9218;1,59 EUR;шт;
;        CZ Soft Hook Pellet,sinking, 8mm, 120g, strawberry (тонущий, клубника);;CZ9157;1,59 EUR;шт;
